
                                EU AD Tariff has Both Pros and Cons. Industry Traders Wait and Watch the Developments                            		2013-06-17 10:24 

                                Chinese PV manufacturers to shift production -–a certain trend in the market                            		2013-06-07 12:43 

                                Europe’s anti-dumping tariff about to finalize, Chinese PV manufacturers’ three contingency plans                            		2013-05-27 10:48 

                                Europe imposes heavy tariff on China’s PV products, manufacturers caught in the solar industry shuffle                            		2013-05-12 23:37 

                                Oversupply and M&A occur in the PV inverter market                            		2013-05-06 18:31 

                                Reduced cell cost suggests the upcoming era of large capacity cells                            		2013-05-06 17:32 

                                The combination of power generation and energy storage will become the next trend in the PV industry                            		2013-04-26 13:55 

                                With power system development lagging behind, Chinese solar manufacturers will continue to face business difficulties                            		2013-04-19 15:07 

                                The butterfly effect—EU’s ruling to stir solar development in the East Asia                            		2013-04-12 17:38 

                                Responding to EU’s double reverse policy, Chinese PV manufacturers aggressively invest in the solar market                            		2013-04-08 17:42 

                                Benefiting from the double reverse policy, Taiwanese silicon wafer manufacturers to raise price in April                            		2013-04-01 10:48 

                                Manufacturers to Overcome Potential Obstacles as Investments in Australia Increase                            		2013-03-25 9:22 

                                TrendForce: Good order visibility, Taiwanese solar manufacturers to increase monthly revenue                            		2013-03-15 12:25 

                                NSP Announced February Consolidated Revenue of NT$839 Million                            		2013-03-11 14:19 

                                TrendForce:Market Differentiation Results in Price Increase of High Efficiency Products                            		2013-03-08 11:24 

                                TrendForce：Policy and efficiency remains crucial to the re-emergence of the PV market                            		2013-03-06 14:25 

                                TrendForce：Efficiency improvement remains the key, Metal Wrap Through (MWT) technology ready to take the market                            		2013-02-21 14:08 

                                TrendForce：PV Market Prices Show Growth, 1Q13 Performance May Surpass Expectations                            		2013-02-05 16:36 

                                TrendForce：China's Polysilicon Prices Continue to Surge, Price Increases from Mid-to-Downstream Vendors to Follow                            		2013-01-14 10:02 

                                US, Europe, and Japan to Seize New PV Investment Opportunities                            		2012-12-27 18:26 

                                TrendForce：China Launches Anti-Dumping Investigation , Polysilicon Price Differs across Asia                            		2012-11-08 18:23 

                                TrendForce：Recent Developments to Jeopardize Taiwanese Solar Firms’ Future                            		2012-10-04 17:09 

                                TrendForce：Japan’s Solar Market May Pick Up despite Stagnant PV Market Outlook and Low Popularity at Exhibitions                            		2012-10-01 10:05 

                                TrendForce: Steep Dive in FiT to Impair Taiwan’s Domestic Solar Demand                            		2012-09-20 14:12 

                                TrendForce：European Solar Firms May Transfer Orders to Taiwanese Companies                            		2012-09-14 19:12 

                                TrendForce: Battery Price Sees Decline as the Market Remains Oversupplied                            		2012-09-07 17:55 

                                TrendForce: China Enacts Policies to Stimulate Domestic PV Demand                            		2012-09-07 15:44 

                                TrendForce: Wafer Makers’ Glory Days are Behind Them                            		2012-08-31 9:55 

                                TrendForce: Solar Downturn Spreads to BOS Sector                            		2012-08-23 13:47 

                                TrendForce: Manufacturers Demanded to Execute Contracts as Cell Prices and Utilization Rates Continue to Dip                            		2012-08-16 9:57 

                                TrendForce: Orders yet to Reflect Potential Demand as European Economy Remains in Slump                            		2012-08-09 11:01 

                                TrendForce：Anti-Dumping Cases between U.S., China, and Europe Render August Outlook Sluggish                            		2012-08-03 9:49 

                                TrendForce：Demand for High Price-Performance Ratio Products Climbs as PV Market Outlook Worsens                            		2012-07-26 9:55 

                                TrendForce: Decreasing PV Orders and Prices Portend Weaker-than-Expected Solar Market in August                            		2012-07-19 10:17 

                                TrendForce：As PV Market Sees Emphasis on Price-Performance Ratio, Demand Warms for Standard Solar Products                            		2012-07-12 11:33 

                                TrendForce: Germany Revised Solar Subsidy, July Spot Prices on Gradual Decline                            		2012-07-05 11:45 

                                EnergyTrend: Multi-Si Wafer Efficiency Improves, Challenging P-Type Mono-Wafer Market                            		2012-06-28 13:57 

                                TrendForce: Solar Wafer and Cell Prices Remain on Slight Uptrend, Q3 Shipments Dependent on Market                            		2012-06-21 10:17 

                                TrendForce：Rush Orders Bring in Revenue for PV Makers in Q2                            		2012-06-14 11:06 

                                Solar Cell Makers Pulled the Trigger on Price Increases, Wafer Manufacturers to Follow Suit                            		2012-05-28 17:59 

                                TrendForce: New NB Processor Propelled Rush Orders for Lithium Battery                            		2012-05-24 17:11 

                                TrendForce: Anti-dumping and Anti-countervailing Decision Unexpected, Manufacturers Treading Carefully                            		2012-05-23 18:14 

                                TrendForce: Anti-dumping and Anti-countervailing Decision Unexpected, Manufacturers Treading Carefully                            		2012-05-23 17:59 

                                TrendForce: U.S. Sets Preliminary Anti-dumping Duties on solar cells, Taiwanese Makers to See Improved Spot Market Prices Next Week                            		2012-05-18 18:03 

                                TrendForce: SNEC Exhibition Kicks Off, Major Makers United on Cost Optimization                            		2012-05-17 17:53 

                                TrendForce: European Solar Market Outlook to Stay Murky                            		2012-05-10 10:31 

                                TrendForce: Polarization in the Polysilicon Industry – Survival of the Fittest                            		2012-05-03 11:43 

                                EnergyTrend: Polysilicon Price Continues to Fall, May Reach US$20/kg in 2012                            		2012-04-30 12:55 

                                TrendForce: Solar Prices Remain Low Despite Italian Market Demand Recovery                            		2012-04-19 14:42 

                                EnergyTrend: Lesson Learned, Solar Manufacturers No Longer Slashing Price to Bring In Orders                            		2012-04-12 10:26 

                                EnergyTrend: Effect of Apple Craze Extends to Lithium Polymer Batteries, Scale Causes Price Reduction                            		2012-04-10 11:20 

                                EnergyTrend: Solar Prices Plummet in Past Two Weeks, Manufacturers on the Defense                            		2012-04-05 18:43 

                                EnergyTrend: Germany’s Revised Solar Subsidy Policy to Bring Short-Term Gains, Potential Long-Term Losses                            		2012-03-29 10:46 

                                EnergyTrend: U.S. Reaches Preliminary Decision on Solar Anti-Dumping Tariffs                            		2012-03-21 18:21 

                                EnergyTrend: Market Purchase Momentum Weak, Price Falls Significantly                            		2012-03-15 10:53 

                                EnergyTrend: Prices Began to Drop as Uncertainty Mounted                            		2012-03-08 10:09 

                                EnergyTrend: Solar Market Variables Result in Spot Market Uncertainty, High-Efficiency Products a New Trend at PV Expo Japan                            		2012-02-29 18:40 

                                EnergyTrend: Rush Order Influx Continues, Makers Treading Cautiously                            		2012-02-22 18:38 

                                EnergyTrend: 2Q12 Solar Industry Development and Outlook Remains Conservative                            		2012-02-17 17:47 

                                EnergyTrend: Subsidies for Major Markets to Decrease; Market Prospects in 1Q12 Looking Up due to Impending Subsidy Cut                            		2012-02-09 10:15 

                                EnergyTrend: Lithium Polymer Battery Cell Capacity to Increase by 30% in 2012; Cylindrical Lithium Battery Cell Production Cut Begins to Take Effect                            		2012-02-06 17:52 

                                EnergyTrend: Rush Order Influx Continues, Market Outlook Optimistic for 1Q12                            		2012-02-03 11:09 

                                EnergyTrend: Benefitting from Inventory Restocking Orders, Post-Chinese New Year Solar Supply Chain Price Increase Brewing                            		2012-01-19 17:05 

                                Upstream Price Quotes Increase, Downstream Makers Bide Time                            		2012-01-12 11:19 

                                Solar Cell Makers Benefited from Rush Orders; Polysilicon Contract Price Likely to Surge                            		2012-01-06 9:11 

                                4Q11 Lithium Battery Market Stabilized by Chinese New Year Demand Surge                            		2012-01-03 16:12 

                                Upstream Spot Price Rises, Market Outlook Remains Unclear for 2012                            		2011-12-29 11:10 

                                Polysilicon Contract Price to Increase, Top Tier Manufacturers’ Stance Decisive                            		2011-12-22 16:34 

                                China and U.S. Solar Trade War Begins, Taiwanese Vendors to Benefit                            		2011-12-15 10:01 

                                High-Efficiency Solar Products Gaining Popularity; Manufacturers’ Technology Capability and Strategies Come into Play                            		2011-12-08 10:08 

                                Taiwanese Manfacturers to Enter Solar System Market and Face New Challenge                            		2011-12-01 11:53 

                                Tablet and Notebook Battery Market Outlooks Differ Vastly                            		2011-11-28 18:29 

                                Solar Price Drop Curbs; Carbon Emissions Trading Is Expected to Spur Solar Demand                            		2011-11-23 18:57 

                                Unable to Compete in the Price Wars, Mid and Small-scale PV Makers Temporarily Cut Capacity                            		2011-11-16 19:10 

                                Solar Manufacturers Form Strategic Alliances to Escape Cutthroat Market                            		2011-11-10 14:57 

                                Solar Industry Oversupply Persists Despite Demand Recovery in Q4                            		2011-11-03 15:24 

                                Pessimism Permeates Solar Market, Few Buyers as PV Price Continues to Fall                            		2011-10-26 18:04 

                                Solar Cell Makers Face Profitability Challenges in Q4 due to Falling Price and Shrinking Market Demand                            		2011-10-20 8:56 

                                Q4 Demand Disappointing, Solar Manufacturers Face Immense Financial Pressure                            		2011-10-12 18:08 

                                GCL’s Upper Hand a Double-Edged Sword for Downstream Solar Players                            		2011-10-05 18:05 

                                EnergyTrend: Solar Price Continues to Drop, Alarming Sign for the Market                            		2011-09-28 18:30 

                                GLC, Foxconn Join Forces, Polysilicon Solar Industry to Face Cutthroat Market                            		2011-09-21 18:05 

                                Downstream Manufacturers Hesitant, Multi-Si Price of US$45/Kg in Sight                            		2011-09-14 18:20 

                                EU PVSEC Reveals 4Q11 Prospects Uncertain, Solar Manufacturers Wrestle over Price and Payment Terms                            		2011-09-07 18:00 

                                Increasing Pressure from Downstream to Lower Price, Polysilicon Price Unstable                            		2011-08-31 18:20 

                                Declining PV Price and Profit Margin May Trigger Solar Industry Meltdown in U.S. and Europe                            		2011-08-25 8:38 

                                Demand for High Conversion Efficiency Solar Product Remains while Recent Price Trends Are Polarized                            		2011-08-17 22:20 

                                Production Capacity Advances in China and Korea Triggered Price Decrease                            		2011-08-11 17:27 

                                European Market Sees Signs of Demand Rise; The German Incremental PV Market Installation Volume is Expected to Expand to 3.5GW in 2H11                            		2011-08-03 18:29 

                                Trade-off between Profitability and Inventory Clearance Becomes the Biggest Challenge for Solar Cell Manufacturers                            		2011-07-27 19:44 

                                PV Prices Continue to Go up, but Momentum Slows                            		2011-07-21 9:43 

                                Due to Increasing Demand in Mainland China, Polysilicon Price Continues to Rise                            		2011-07-13 18:30 

                                Polysilicon Price Rebounds, and Si Wafer Price Increase Simmers                            		2011-07-07 10:44 

                                Solar Market Demand Increased, but Price Remained Low Still                            		2011-06-30 10:20 

                                Solar Market Demand Poised for a Rebound; Inventory Clearance and Capital Market Condition Hold Sway                            		2011-06-22 17:37 

                                Solar Industry Signaled a Mixed Message in Early June; Spot Price Reached New Low but Likely to Rebound in 2H11                            		2011-06-16 10:57 

                                Opening of Intersolar Europe 2011 and Half-Yearly Financial Report Releases Lead the PV Market Development                            		2011-06-08 18:35 

                                Chinese Manufacturers’ Capacity Expansion Plans still in Progress despite Continued Decrease in Solar Energy Market Price                            		2011-06-01 18:13 

                                Polysilicon Price Trending down to $50/kg due to High Inventory Level and Low Visibility of Market Demand                            		2011-05-25 17:41 

                                PV Market Demand is yet to Materialize, as the Price Decline Continues                            		2011-05-18 19:27 

                                EnergyTrend: Inventory Turnover Is Still the Key Factor for the PV Market Development in 2H11                            		2011-05-11 18:43 

                                EnergyTrend Latest Solar Price Survey: Manufacturers to Reduce Production in Response to Low Market Visibility                            		2011-05-04 18:03 

                                Solar Wafer and Cell Manufacturers Began Price Cut; Cell Price Dropped below $1/Watt                            		2011-04-27 17:20 

                                In Response to A Constant Decrease in Solar Price, Some Manufacturers have Lowered Their Production Capacities                            		2011-04-20 18:01 

                                Continued Decrease in Solar Cell Contract Prices to Bring a Serious Challenge to Manufacturers in 2Q11                            		2011-04-19 18:47 

                                Decreasing Solar Cell Prices to Bring a Serious Challenge to Manufacturers in 2Q11                            		2011-04-13 19:07 

                                Solar Cell Price Continues to Decrease, the Profit of 1Q 2011 Is Lower than Expected                            		2011-04-06 18:28 

                                Italian Market Demand Ceasing, European Market Demand may be Lower than Expected in 2011                            		2011-03-31 9:31 

                                Extreme Spot Prices Posing a Challenge to Manufacturers: Poly Silicon Prices Rise while Wafer and Cell Prices Drop                            		2011-03-23 19:02 

                                TrendForce: The Latest Solar Price Survey                            		2011-03-17 13:20 

                                TrendForce: The Latest Solar Price Survey                            		2011-03-10 10:31 

                                TrendForce: The Latest Solar Price Survey                            		2011-03-04 9:12 

                                TrendForce: The Latest Solar Price Survey                            		2011-02-24 17:07 

                                TrendForce: The Latest Solar Price Survey                            		2011-02-18 15:13 

                                TrendForce: The Latest Solar Price Survey                            		2011-02-10 18:04 

                                TrendForce: The Latest Solar Price Survey                            		2011-02-02 21:55 

                                TrendForce: The Latest Solar Price Survey                            		2011-01-26 18:12 

                                TrendForce: The Latest Solar Price Survey                            		2011-01-20 16:21 

                                Solar PV Price decline in Jan, 2011                            		2011-01-14 13:55 

                                Price of Solar Cells in 4Q10 is Estimated to Decrease by 8%-12% Due to Weak Demand and Climate Impact                            		2010-10-12 18:14 

                                EnergyTrend: Global Solar Energy Market Demand to Keep Growth in 3Q                            		2010-07-15 17:17 

                                Solar Cell Price Trend in 2Q10                            		2010-05-20 17:20 

                                EnergyTrend: Silicon Wafer Shortage Leads to Continuous Price Hike in 2Q                            		2010-05-20 16:46 

                                Solar Panel Price                            		2010-04-02 14:50 
